0:0:0:0:0:0:0:1 - - [03/Jan/2020:14:44:25 +0900] "GET /clientweb/css/css_boxmodel_microsoft.html HTTP/1.1" 200 1483
0:0:0:0:0:0:0:1 - - [03/Jan/2020:14:44:30 +0900] "GET /clientweb/css/css_boxmodel_microsoft.html HTTP/1.1" 200 1483
0:0:0:0:0:0:0:1 - - [03/Jan/2020:14:44:36 +0900] "GET /clientweb/css/css_boxmodel_microsoft.html HTTP/1.1" 200 1483
0:0:0:0:0:0:0:1 - - [03/Jan/2020:14:44:44 +0900] "GET /clientweb/css/css_boxmodel_microsoft.html HTTP/1.1" 200 1483
0:0:0:0:0:0:0:1 - - [03/Jan/2020:14:44:53 +0900] "GET /clientweb/css/css_boxmodel_microsoft.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Jan/2020:14:44:54 +0900] "GET /clientweb/css/css_boxmodel_microsoft.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Jan/2020:14:44:56 +0900] "GET /clientweb/css/css_boxmodel_microsoft.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Jan/2020:14:45:06 +0900] "GET /clientweb/css/css_boxmodel_microsoft.html HTTP/1.1" 200 1483
0:0:0:0:0:0:0:1 - - [03/Jan/2020:14:45:24 +0900] "GET /clientweb/css/css_boxmodel_microsoft.html HTTP/1.1" 200 1483
0:0:0:0:0:0:0:1 - - [03/Jan/2020:14:45:35 +0900] "GET /clientweb/css/css_boxmodel_microsoft.html HTTP/1.1" 200 1483
0:0:0:0:0:0:0:1 - - [03/Jan/2020:14:45:55 +0900] "GET /clientweb/css/css_boxmodel_microsoft.html HTTP/1.1" 200 1483
0:0:0:0:0:0:0:1 - - [03/Jan/2020:14:46:07 +0900] "GET /clientweb/css/css_boxmodel_microsoft.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Jan/2020:14:46:07 +0900] "GET /clientweb/css/css_boxmodel_microsoft.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Jan/2020:14:46:09 +0900] "GET /clientweb/css/css_boxmodel_microsoft.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Jan/2020:14:46:19 +0900] "GET /clientweb/css/css_boxmodel_microsoft.html HTTP/1.1" 200 1486
0:0:0:0:0:0:0:1 - - [03/Jan/2020:14:47:51 +0900] "GET /clientweb/css/css_boxmodel_microsoft.html HTTP/1.1" 200 1843
0:0:0:0:0:0:0:1 - - [03/Jan/2020:14:48:17 +0900] "GET /clientweb/css/css_boxmodel_microsoft.html HTTP/1.1" 200 1799
0:0:0:0:0:0:0:1 - - [03/Jan/2020:14:48:22 +0900] "GET /clientweb/css/css_boxmodel_microsoft.html HTTP/1.1" 304 -
